instant,date,season,year,month,holiday,weekday,workingday,weather,temperature_in_celcius,felt_temperature_in_celcius,humidity,windspeed,casual,registered,rental_count
1,2011-01-01,Spring,2011,Jan,No,Sat,No,Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
2,2011-01-02,Spring,2011,Jan,No,Sun,No,Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
3,2011-01-03,Spring,2011,Jan,No,Mon,Yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
4,2011-01-04,Spring,2011,Jan,No,Tue,Yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
5,2011-01-05,Spring,2011,Jan,No,Wed,Yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600
6,2011-01-06,Spring,2011,Jan,No,Thu,Yes,Clear,8.378268,11.66045,51.8261,6.0008684,88,1518,1606
7,2011-01-07,Spring,2011,Jan,No,Fri,Yes,Cloudy,8.057402,10.44195,49.8696,11.304642,148,1362,1510
8,2011-01-08,Spring,2011,Jan,No,Sat,No,Cloudy,6.765000000000001,8.1127,53.5833,17.875868,68,891,959
9,2011-01-09,Spring,2011,Jan,No,Sun,No,Clear,5.671653,5.80875,43.416700000000006,24.25065,54,768,822
10,2011-01-10,Spring,2011,Jan,No,Mon,Yes,Clear,6.184153,7.5443999999999996,48.2917,14.958889,41,1280,1321
11,2011-01-11,Spring,2011,Jan,No,Tue,Yes,Cloudy,6.9327309999999995,9.5732,68.6364,8.182844000000001,43,1220,1263
12,2011-01-12,Spring,2011,Jan,No,Wed,Yes,Clear,7.0818069999999995,8.02365,59.954499999999996,20.410009,25,1137,1162
13,2011-01-13,Spring,2011,Jan,No,Thu,Yes,Clear,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,38,1368,1406
14,2011-01-14,Spring,2011,Jan,No,Fri,Yes,Clear,6.59567,9.42065,53.7826,8.478716,54,1367,1421
15,2011-01-15,Spring,2011,Jan,No,Sat,No,Cloudy,9.566653,12.4056,49.875,10.583521,222,1026,1248
16,2011-01-16,Spring,2011,Jan,No,Sun,No,Clear,9.498347,11.71085,48.375,12.625010999999999,251,953,1204
17,2011-01-17,Spring,2011,Jan,Yes,Mon,No,Cloudy,7.209153,8.838550000000001,53.75,12.999139,117,883,1000
18,2011-01-18,Spring,2011,Jan,No,Tue,Yes,Cloudy,8.883347,11.61665,86.16669999999999,9.833924999999999,9,674,683
19,2011-01-19,Spring,2011,Jan,No,Wed,Yes,Cloudy,11.979134,14.921100000000001,74.1739,13.957239,78,1572,1650
20,2011-01-20,Spring,2011,Jan,No,Thu,Yes,Cloudy,10.728347,12.7525,53.833299999999994,13.125568,83,1844,1927
21,2011-01-21,Spring,2011,Jan,No,Fri,Yes,Clear,7.2775,7.89165,45.7083,23.667214,75,1468,1543
22,2011-01-22,Spring,2011,Jan,No,Sat,No,Clear,2.4243464,3.9534800000000003,40.0,11.52199,93,888,981
23,2011-01-23,Spring,2011,Jan,No,Sun,No,Clear,3.9573897000000002,4.941955,43.6522,16.5222,150,836,986
24,2011-01-24,Spring,2011,Jan,No,Mon,Yes,Clear,3.9930433,5.8965,49.173899999999996,10.60811,86,1330,1416
25,2011-01-25,Spring,2011,Jan,No,Tue,Yes,Cloudy,9.162598000000001,11.7263,61.695699999999995,8.696332,186,1799,1985
26,2011-01-26,Spring,2011,Jan,No,Wed,Yes,Light_rain,8.9175,10.18,86.25,19.68795,34,472,506
27,2011-01-27,Spring,2011,Jan,No,Thu,Yes,Clear,7.995,10.985,68.75,7.627078999999999,15,416,431
28,2011-01-28,Spring,2011,Jan,No,Fri,Yes,Cloudy,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,38,1129,1167
29,2011-01-29,Spring,2011,Jan,No,Sat,No,Clear,8.057402,10.606300000000001,65.17389999999999,9.739455,123,975,1098
30,2011-01-30,Spring,2011,Jan,No,Sun,No,Clear,8.877402,12.5161,72.2174,4.956834199999999,140,956,1096
31,2011-01-31,Spring,2011,Jan,No,Mon,Yes,Cloudy,7.414153,9.3125,60.375,12.541864,42,1459,1501
32,2011-02-01,Spring,2011,Feb,No,Tue,Yes,Cloudy,7.8791340000000005,11.7265,82.9565,3.565271,47,1313,1360
33,2011-02-02,Spring,2011,Feb,No,Wed,Yes,Cloudy,10.66,12.72085,77.5417,17.708636,72,1454,1526
34,2011-02-03,Spring,2011,Feb,No,Thu,Yes,Clear,7.665237,8.8939,43.7826,18.609384,61,1489,1550
35,2011-02-04,Spring,2011,Feb,No,Fri,Yes,Cloudy,8.663464,11.429350000000001,58.521699999999996,8.565213,88,1620,1708
36,2011-02-05,Spring,2011,Feb,No,Sat,No,Cloudy,9.566653,12.152899999999999,92.91669999999999,10.792293,100,905,1005
37,2011-02-06,Spring,2011,Feb,No,Sun,No,Clear,11.719153,14.58355,56.833299999999994,9.5006,354,1269,1623
38,2011-02-07,Spring,2011,Feb,No,Mon,Yes,Clear,11.138347,15.1829,73.83330000000001,3.0423561,120,1592,1712
39,2011-02-08,Spring,2011,Feb,No,Tue,Yes,Clear,9.054153,9.9123,53.7917,24.25065,64,1466,1530
40,2011-02-09,Spring,2011,Feb,No,Wed,Yes,Cloudy,5.526102999999999,7.21415,49.4783,12.652213,53,1552,1605
41,2011-02-10,Spring,2011,Feb,No,Thu,Yes,Clear,5.918268,7.477399999999999,43.7391,14.869645,47,1491,1538
42,2011-02-11,Spring,2011,Feb,No,Fri,Yes,Clear,7.752731000000001,10.67545,50.6364,7.272849999999999,149,1597,1746
43,2011-02-12,Spring,2011,Feb,No,Sat,No,Clear,9.1225,11.6477,54.4167,13.625589,288,1184,1472
44,2011-02-13,Spring,2011,Feb,No,Sun,No,Clear,12.977402000000001,16.20565,45.7391,17.479160999999998,397,1192,1589
45,2011-02-14,Spring,2011,Feb,No,Mon,Yes,Clear,17.015,19.9175,37.583299999999994,27.999836,208,1705,1913
46,2011-02-15,Spring,2011,Feb,No,Tue,Yes,Clear,10.909567000000001,12.7137,31.434800000000003,19.522058,140,1675,1815
47,2011-02-16,Spring,2011,Feb,No,Wed,Yes,Clear,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,218,1897,2115
48,2011-02-17,Spring,2011,Feb,No,Thu,Yes,Clear,17.869153,21.4329,50.5,15.416968,259,2216,2475
49,2011-02-18,Spring,2011,Feb,No,Fri,Yes,Clear,21.388347,25.599149999999998,51.6667,17.749975000000003,579,2348,2927
50,2011-02-19,Spring,2011,Feb,No,Sat,No,Clear,16.365847,19.5702,18.7917,34.000021,532,1103,1635
51,2011-02-20,Spring,2011,Feb,No,Sun,No,Clear,11.693897,13.8665,40.7826,14.956745,639,1173,1812
52,2011-02-21,Spring,2011,Feb,Yes,Mon,No,Cloudy,12.436653000000002,14.203750000000001,60.5,20.625682,195,912,1107
53,2011-02-22,Spring,2011,Feb,No,Tue,Yes,Clear,7.471102,9.30165,57.7778,13.110761,74,1376,1450
54,2011-02-23,Spring,2011,Feb,No,Wed,Yes,Clear,9.091299,12.28585,42.3043,6.3055710000000005,139,1778,1917
55,2011-02-24,Spring,2011,Feb,No,Thu,Yes,Cloudy,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,100,1707,1807
56,2011-02-25,Spring,2011,Feb,No,Fri,Yes,Cloudy,14.938268,17.52305,71.2174,23.218113,120,1341,1461
57,2011-02-26,Spring,2011,Feb,No,Sat,No,Clear,11.5825,14.1096,53.7917,12.500257,424,1545,1969
58,2011-02-27,Spring,2011,Feb,No,Sun,No,Clear,14.082598,17.55545,68.0,8.391615999999999,694,1708,2402
59,2011-02-28,Spring,2011,Feb,No,Mon,Yes,Cloudy,16.698193,20.005899999999997,87.63640000000001,19.408962,81,1365,1446
60,2011-03-01,Spring,2011,Mar,No,Tue,Yes,Clear,10.933347,13.19395,53.5,14.500475,137,1714,1851
61,2011-03-02,Spring,2011,Mar,No,Wed,Yes,Clear,13.735000000000001,16.00355,44.9583,20.624811,231,1903,2134
62,2011-03-03,Spring,2011,Mar,No,Thu,Yes,Clear,8.131653,10.00665,31.833299999999998,15.125518000000001,123,1562,1685
63,2011-03-04,Spring,2011,Mar,No,Fri,Yes,Cloudy,10.728347,12.783949999999999,61.0417,13.624182,214,1730,1944
64,2011-03-05,Spring,2011,Mar,No,Sat,No,Cloudy,15.750846999999998,18.93895,78.91669999999999,16.875357,640,1437,2077
65,2011-03-06,Spring,2011,Mar,No,Sun,No,Cloudy,15.437402,18.3126,94.8261,23.000229,114,491,605
66,2011-03-07,Spring,2011,Mar,No,Mon,Yes,Clear,10.731299,11.92305,55.1304,22.870584,244,1628,1872
67,2011-03-08,Spring,2011,Mar,No,Tue,Yes,Clear,11.9925,15.120000000000001,42.0833,8.083549999999999,316,1817,2133
68,2011-03-09,Spring,2011,Mar,No,Wed,Yes,Cloudy,12.129153,14.3304,77.5417,14.750050000000002,191,1700,1891
69,2011-03-10,Spring,2011,Mar,No,Thu,Yes,Light_rain,15.952731,19.2834,0.0,17.545759,46,577,623
70,2011-03-11,Spring,2011,Mar,No,Fri,Yes,Cloudy,12.977402000000001,15.25,64.95649999999999,15.60899,247,1730,1977
71,2011-03-12,Spring,2011,Mar,No,Sat,No,Clear,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,724,1408,2132
72,2011-03-13,Spring,2011,Mar,No,Sun,No,Clear,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,982,1435,2417
73,2011-03-14,Spring,2011,Mar,No,Mon,Yes,Clear,13.333896999999999,16.6,49.695699999999995,9.174042,359,1687,2046
74,2011-03-15,Spring,2011,Mar,No,Tue,Yes,Cloudy,13.013031,15.908900000000001,65.5652,12.348703,289,1767,2056
75,2011-03-16,Spring,2011,Mar,No,Wed,Yes,Cloudy,14.973897000000001,18.3465,77.65220000000001,13.608839,321,1871,2192
76,2011-03-17,Spring,2011,Mar,No,Thu,Yes,Clear,17.015,20.51665,60.291700000000006,14.041792999999998,424,2320,2744
77,2011-03-18,Spring,2011,Mar,No,Fri,Yes,Clear,22.14,26.35045,52.5217,15.478139,884,2355,3239
78,2011-03-19,Spring,2011,Mar,No,Sat,No,Clear,19.3725,23.32625,37.9167,24.667189,1424,1693,3117
79,2011-03-20,Spring,2011,Mar,No,Sun,No,Clear,13.6325,16.287499999999998,47.375,13.917307,1047,1424,2471
80,2011-03-21,Summer,2011,Mar,No,Mon,Yes,Cloudy,17.647835,20.48675,73.73910000000001,19.348461,401,1676,2077
81,2011-03-22,Summer,2011,Mar,No,Tue,Yes,Clear,18.108347,22.0321,62.4583,15.125250000000001,460,2243,2703
82,2011-03-23,Summer,2011,Mar,No,Wed,Yes,Cloudy,14.225237,16.89695,83.9565,15.695487,203,1918,2121
83,2011-03-24,Summer,2011,Mar,No,Thu,Yes,Cloudy,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,166,1699,1865
84,2011-03-25,Summer,2011,Mar,No,Fri,Yes,Clear,10.830846999999999,12.8156,49.5,15.458575000000002,300,1910,2210
85,2011-03-26,Summer,2011,Mar,No,Sat,No,Clear,10.899153,12.87855,39.4167,14.041257,981,1515,2496
86,2011-03-27,Summer,2011,Mar,No,Sun,No,Cloudy,10.374763000000002,12.51695,49.3913,12.348099999999999,472,1221,1693
87,2011-03-28,Summer,2011,Mar,No,Mon,Yes,Clear,10.838268000000001,12.878700000000002,30.2174,14.217668,222,1806,2028
88,2011-03-29,Summer,2011,Mar,No,Tue,Yes,Clear,12.4025,14.6454,31.4167,15.208732,317,2108,2425
89,2011-03-30,Summer,2011,Mar,No,Wed,Yes,Cloudy,12.299999999999999,14.8675,64.6667,11.583495999999998,168,1368,1536
