instant,date,season,year,month,holiday,weekday,workingday,weather,temperature_in_celcius,felt_temperature_in_celcius,humidity,windspeed,casual,registered,rental_count
366,2012-01-01,Spring,2012,Jan,No,Sun,No,Clear,15.17,18.78105,69.25,12.875189,686,1608,2294
367,2012-01-02,Spring,2012,Jan,Yes,Mon,No,Clear,11.194763,12.615199999999998,38.130399999999995,22.087555,244,1707,1951
368,2012-01-03,Spring,2012,Jan,No,Tue,Yes,Clear,6.1499999999999995,6.31375,44.125,24.499957000000002,89,2147,2236
369,2012-01-04,Spring,2012,Jan,No,Wed,Yes,Cloudy,4.4075,5.96685,41.4583,12.3749,95,2273,2368
370,2012-01-05,Spring,2012,Jan,No,Thu,Yes,Clear,10.899153,13.9206,52.416700000000006,8.709128999999999,140,3132,3272
371,2012-01-06,Spring,2012,Jan,No,Fri,Yes,Clear,13.700847,17.01335,54.2083,11.249836,307,3791,4098
372,2012-01-07,Spring,2012,Jan,No,Sat,No,Clear,16.126653,19.53895,53.1667,11.708786,1070,3451,4521
373,2012-01-08,Spring,2012,Jan,No,Sun,No,Clear,13.8375,17.012900000000002,46.5,12.833314,599,2826,3425
374,2012-01-09,Spring,2012,Jan,No,Mon,Yes,Cloudy,9.190847,12.37395,70.1667,6.6263000000000005,106,2270,2376
375,2012-01-10,Spring,2012,Jan,No,Tue,Yes,Clear,12.656536000000001,15.9413,64.65220000000001,12.565984,173,3425,3598
376,2012-01-11,Spring,2012,Jan,No,Wed,Yes,Cloudy,11.240847,14.14105,84.75,8.791807,92,2085,2177
377,2012-01-12,Spring,2012,Jan,No,Thu,Yes,Cloudy,15.682500000000001,19.0969,80.2917,12.124789,269,3828,4097
378,2012-01-13,Spring,2012,Jan,No,Fri,Yes,Clear,11.240847,12.4681,50.74999999999999,25.333236,174,3040,3214
379,2012-01-14,Spring,2012,Jan,No,Sat,No,Clear,7.38,9.15435,45.75,12.541260999999999,333,2160,2493
380,2012-01-15,Spring,2012,Jan,No,Sun,No,Clear,6.833347000000001,8.081249999999999,41.9167,16.834286,284,2027,2311
381,2012-01-16,Spring,2012,Jan,Yes,Mon,No,Clear,7.79,9.53315,52.25,15.500986000000001,217,2081,2298
382,2012-01-17,Spring,2012,Jan,No,Tue,Yes,Cloudy,15.294763,18.2139,71.6087,23.39171,127,2808,2935
383,2012-01-18,Spring,2012,Jan,No,Wed,Yes,Clear,12.436653000000002,13.7627,44.333299999999994,27.833743,109,3267,3376
384,2012-01-19,Spring,2012,Jan,No,Thu,Yes,Clear,7.79,9.501900000000001,49.75,14.750586,130,3162,3292
